Team,Season,Tournament,Role,Player,player_page
RED Canids,16,CBLOL 2026 Split 1,TOP,zynts,https://gol.gg/players/player-stats/5599/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
RED Canids,16,CBLOL 2026 Split 1,JUNGLE,Stepz,https://gol.gg/players/player-stats/6184/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
RED Canids,16,CBLOL 2026 Split 1,MID,Kaze,https://gol.gg/players/player-stats/5009/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
RED Canids,16,CBLOL 2026 Split 1,BOT,Morttheus,https://gol.gg/players/player-stats/4758/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
RED Canids,16,CBLOL 2026 Split 1,SUPPORT,frosty,https://gol.gg/players/player-stats/5270/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
RED Canids,16,CBLOL 2026 Split 1,BOT,Rabelo,https://gol.gg/players/player-stats/5784/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Vivo Keyd Stars,16,CBLOL 2026 Split 1,TOP,Wizer,https://gol.gg/players/player-stats/2241/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Vivo Keyd Stars,16,CBLOL 2026 Split 1,JUNGLE,Disamis,https://gol.gg/players/player-stats/3527/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Vivo Keyd Stars,16,CBLOL 2026 Split 1,MID,Mireu,https://gol.gg/players/player-stats/3097/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Vivo Keyd Stars,16,CBLOL 2026 Split 1,BOT,Ceo,https://gol.gg/players/player-stats/3638/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Vivo Keyd Stars,16,CBLOL 2026 Split 1,SUPPORT,Kaiwing,https://gol.gg/players/player-stats/1006/season-S16/split-ALL/tournament-CBLOL%202026%20Split%201/champion-ALL/
Fluxo W7M,16,CBLOL Cup 2026,TOP,curty,https://gol.gg/players/player-stats/5601/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Fluxo W7M,16,CBLOL Cup 2026,JUNGLE,Peach,https://gol.gg/players/player-stats/3422/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Fluxo W7M,16,CBLOL Cup 2026,MID,Hauz,https://gol.gg/players/player-stats/2225/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Fluxo W7M,16,CBLOL Cup 2026,BOT,BAO,https://gol.gg/players/player-stats/2649/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Fluxo W7M,16,CBLOL Cup 2026,SUPPORT,ProDelta,https://gol.gg/players/player-stats/3210/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
FURIA,16,CBLOL Cup 2026,TOP,Guigo,https://gol.gg/players/player-stats/3116/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
FURIA,16,CBLOL Cup 2026,JUNGLE,Tatu,https://gol.gg/players/player-stats/4776/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
FURIA,16,CBLOL Cup 2026,MID,Tutsz,https://gol.gg/players/player-stats/2709/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
FURIA,16,CBLOL Cup 2026,BOT,Ayu,https://gol.gg/players/player-stats/4976/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
FURIA,16,CBLOL Cup 2026,SUPPORT,JoJo,https://gol.gg/players/player-stats/2329/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Leviatan,16,CBLOL Cup 2026,TOP,Devost,https://gol.gg/players/player-stats/6183/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Leviatan,16,CBLOL Cup 2026,JUNGLE,Booki,https://gol.gg/players/player-stats/6182/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Leviatan,16,CBLOL Cup 2026,MID,Enga,https://gol.gg/players/player-stats/3517/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Leviatan,16,CBLOL Cup 2026,BOT,Ceo,https://gol.gg/players/player-stats/3638/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
Leviatan,16,CBLOL Cup 2026,SUPPORT,TopLop,https://gol.gg/players/player-stats/2039/season-S16/split-ALL/tournament-CBLOL%20Cup%202026/champion-ALL/
